paper_title,algorithm_name,implemented,module_path,priority,notes
"Visualizing Trace Variants From Partially Ordered Event Data (2021)",Partial Order Visualization,NO,,medium,"Visualization techniques for partially ordered event data"
"Probability Estimation of Uncertain Process Trace Realizations (2021)",Uncertain Trace Probability,NO,,medium,"Estimates probabilities for uncertain process trace realizations"
"SIMPT: Process Improvement Using Interactive Simulation of Time-aware Process Trees (2021)",Time-Aware Simulation,NO,,medium,"Process improvement using interactive time-aware simulation"
"Freezing Sub-Models During Incremental Process Discovery: Extended Version (2021)",Incremental Discovery,NO,,medium,"Technique for incremental process discovery with sub-model freezing"
"PC4PM: A Tool for Privacy/Confidentiality Preservation in Process Mining (2021)",Privacy Preservation,NO,,low,"Tool for preserving privacy/confidentiality in process mining"
"May I Take Your Order? On the Interplay Between Time and Order in Process Mining (2021)",Time-Order Interplay,NO,,medium,"Analyzes the relationship between time and order in process mining"
"Reduction Using Induced Subnets To Systematically Prove Properties For Free-Choice Nets (2021)",Induced Subnet Proving,NO,,low,"Property proving technique for free-choice nets"
"Free-Choice Nets With Home Clusters Are Lucent (2021)",Lucent Property,NO,,low,"Theoretical property of free-choice nets with home clusters"
"A Framework for Explainable Concept Drift Detection in Process Mining (2021)",Explainable Concept Drift,NO,,medium,"Framework for detecting and explaining concept drift in processes"
"Privacy-Preserving Continuous Event Data Publishing (2021)",Continuous Privacy Publishing,NO,,low,"Techniques for privacy-preserving continuous event data publishing"
"Group-Based Privacy Preservation Techniques for Process Mining (2021)",Group-Based Privacy,NO,,low,"Privacy techniques based on grouping"
"Cortado---An Interactive Tool for Data-Driven Process Discovery and Modeling (2021)",Cortado Tool,NO,,low,"Interactive tool for data-driven process discovery"
"Text-Aware Predictive Monitoring of Business Processes (2021)",Text-Aware Monitoring,NO,,medium,"Predictive monitoring that considers text data in business processes"
"Model Independent Error Bound Estimation for Conformance Checking Approximation (2021)",Error Bound Estimation,NO,,medium,"Estimates error bounds for conformance checking approximations"
"Process Comparison Using Object-Centric Process Cubes (2021)",Process Cube Comparison,NO,,medium,"Compares processes using object-centric process cubes"
"PROVED: A Tool for Graph Representation and Analysis of Uncertain Event Data (2021)",PROVED Tool,NO,,low,"Tool for graph representation and analysis of uncertain event data"
"Inferring Unobserved Events in Systems With Shared Resources and Queues (2021)",Unobserved Event Inference,NO,,medium,"Infers events that were not directly observed in systems with shared resources"
"A Python Extension to Simulate Petri nets in Process Mining (2021)",Petri Net Simulation,NO,,low,"Python tool for simulating Petri nets"
"Privacy-Preserving Data Publishing in Process Mining (2021)","Privacy-Preserving Publishing",NO,,low,"Techniques for privacy-preserving data publication"
"Towards Quantifying Privacy in Process Mining (2012)",Privacy Quantification,NO,,low,"Methods for quantifying privacy in process mining"
"OrgMining 2.0: A Novel Framework for Organizational Model Mining from Event Logs (2020)",Organizational Mining,NO,,medium,"Framework for mining organizational models from event logs"
"PMSD: Data-Driven Simulation Using System Dynamics and Process Mining (2020)",System Dynamics Simulation,NO,,medium,"Data-driven simulation using system dynamics and process mining"
"Efficient Time and Space Representation of Uncertain Event Data (2020)",Uncertain Data Representation,NO,,medium,"Efficient representation techniques for uncertain event data"
"Conformance Checking Approximation using Subset Selection and Edit Distance (2019)",Approximation via Subset Selection,NO,,medium,"Conformance checking approximation using subset selection"
"Mining Uncertain Event Data in Process Mining (2019)",Uncertain Event Mining,NO,,medium,"Mining techniques for uncertain event data"
"Discovering Process Models from Uncertain Event Data (2019)",Uncertain Data Discovery,NO,,high,"Process discovery from uncertain event logs"
"Evaluating Conformance Measures in Process Mining using Conformance Propositions (2019)",Conformance Propositions,NO,,medium,"Evaluation framework for conformance measures"
"What if Process Predictions are not followed by Good Recommendations? (2019)",Recommendation Quality,NO,,low,"Analyzes what happens when process predictions are not followed"
"An Integrated Framework for Process Discovery Algorithm Evaluation (2018)",Algorithm Evaluation Framework,NO,,medium,"Framework for evaluating process discovery algorithms"
"Alignment Approximation for Process Trees (2009)",Process Tree Alignment,NO,,medium,"Alignment computation specifically for process tree models"
"An XES Extension for Uncertain Event Data (2022)",Uncertain XES Extension,NO,,low,"XES format extension for uncertain event data"
"Uncertain Case Identifiers in Process Mining: A User Study of the Event-Case Correlation Problem (2022)",Uncertain Case Identifiers,NO,,medium,"User study on uncertain case identifiers"
"Resolving Uncertain Case Identifiers in Interaction Logs: A User Study (2022)",Uncertain Case ID Resolution,NO,,medium,"Resolution techniques for uncertain case identifiers"
"Efficient Construction of Behavior Graphs for Uncertain Event Data (2002)",Uncertain Behavior Graphs,NO,,medium,"Efficient construction of behavior graphs for uncertain data"
"A Collection of Simulated Event Logs for Fairness Assessment in Process Mining (2023)",Fairness Assessment Logs,NO,,low,"Simulated event logs for assessing fairness in process mining"
"Fairness-Aware Process Mining (2019)",Fairness-Aware Mining,NO,,medium,"Process mining techniques that consider fairness aspects"
"Applying Process Mining on Scientific Workflows: a Case Study on High Performance Computing Data (2023)",Scientific Workflow Mining,NO,,low,"Application of process mining to scientific workflows"
"Abstractions, Scenarios, and Prompt Definitions for Process Mining with LLMs: A Case Study (2023)",LLM Process Mining,NO,,low,"Using large language models for process mining tasks"
"Process Modeling With Large Language Models (2023)",LLM Process Modeling,NO,,medium,"Process modeling techniques using LLMs"
"Leveraging Large Language Models for Enhanced Process Model Comprehension (2024)",LLM Model Comprehension,NO,,medium,"Uses LLMs to improve understanding of process models"
"ProMoAI: Process Modeling with Generative AI (2024)",Generative AI Process Modeling,YES,src/rust_implementations/paper_algorithms/algorithms/generative_ai/mod.rs,medium,"Uses generative AI for process model creation"
"Evaluating Large Language Models on Business Process Modeling: Framework, Benchmark, and Self-Improvement Analysis (2024)",LLM Benchmarking,NO,,low,"Benchmark for evaluating LLMs on business process modeling"
"PM-LLM-Benchmark: Evaluating Large Language Models on Process Mining Tasks (2024)",LLM PM Benchmark,NO,,medium,"Benchmark for evaluating LLMs specifically on process mining tasks"
"Process-Aware Analysis of Treatment Paths in Heart Failure Patients: A Case Study (2024)",Healthcare Process Mining,NO,,low,"Healthcare application of process mining to treatment paths"
"Developing a High-Performance Process Mining Library with Java and Python Bindings in Rust (2024)",High-Performance Rust Library,NO,,high,"High-performance process mining library with Rust core and Java/Python bindings"
"A Web-Based Tool for Comparative Process Mining (2022)",Comparative Mining Tool,NO,,low,"Web tool for comparing different process mining techniques"
"Advancements and Challenges in Object-Centric Process Mining: A Systematic Literature Review (2023)",Object-Centric Literature Review,NO,,low,"Systematic literature review of object-centric process mining"
"Challenges of Anomaly Detection in the Object-Centric Setting: Dimensions and the Role of Domain Knowledge (2024)",Object-Centric Anomaly Detection,NO,,medium,"Anomaly detection specifically for object-centric process mining"
"No AI Without PI! Object-Centric Process Mining as the Enabler for Generative, Predictive, and Prescriptive Artificial Intelligence (2024)",OCEL for AI,NO,,high,"Position paper on OCEL as enabler for AI"
"Computing Alignments for Partially-ordered Traces Through Petri Net Unfoldings (2024)",Partial Order Alignment,NO,,medium,"Alignment computation for partially ordered trace data"
"Federated Conformance Checking (2025)",Federated Conformance,NO,,medium,"Conformance checking in federated settings"
"TraVaG: Differentially Private Trace Variant Generation Using GANs (2023)",Differential Privacy GANs,NO,,low,"Uses GANs for differentially private trace variant generation"
"TraVaS: Differentially Private Trace Variant Selection for Process Mining (2022)",Differential Privacy Selection,NO,,low,"Differentially private selection of trace variants"
"Releasing Differentially Private Event Logs Using Generative Models (2025)",Generative DP Logs,NO,,low,"Generates differentially private event logs"
"Analyzing Medical Data with Process Mining: a COVID-19 Case Study (2022)",COVID Process Mining,NO,,low,"Process mining applied to COVID-19 medical data"
"Process Modeling and Conformance Checking in Healthcare: A COVID-19 Case Study (2022)",Healthcare Conformance,NO,,low,"Healthcare process modeling and conformance checking"
"A Python Tool for Object-Centric Process Mining Comparison (2022)",OCEL Comparison,NO,,low,"Python tool for comparing OCEL mining techniques"
"PM4Py-GPU: a High-Performance General-Purpose Library for Process Mining (2022)",GPU Acceleration,NO,,medium,"GPU acceleration library for process mining"
"Event Log Sampling for Predictive Monitoring (2022)",Log Sampling,NO,,medium,"Sampling techniques for event logs in predictive monitoring"
"Performance-Preserving Event Log Sampling for Predictive Monitoring (2023)",Performance-Preserving Sampling,NO,,medium,"Event log sampling that preserves performance characteristics"
"A Python Extension to Simulate Petri nets in Process Mining (2021)",Petri Net Simulation,NO,,low,"Python extension for Petri net simulation"
"Discovering Relaxed Sound Workflow Nets using Integer Linear Programming (2017)",ILP Relaxed Sound Nets,NO,,medium,"ILP-based discovery of relaxed sound workflow nets"
"The Imprecisions of Precision Measures in Process Mining (2017)",Precision Measure Analysis,NO,,medium,"Analysis of precision measures in process mining"
"Cortado---An Interactive Tool for Data-Driven Process Discovery and Modeling (2021)",Cortado Discovery,NO,,low,"Interactive discovery tool for data-driven process discovery"
"Explainable Predictive Decision Mining for Operational Support (2021)",Explainable Predictive Mining,NO,,high,"Explainable predictive techniques for operational support"
"Discovering Sound Free-choice Workflow Nets With Non-block Structures (2023)",Non-block Free-Choice Discovery,NO,,medium,"Discovery of sound free-choice nets with non-block structures"
"Comparing Ordering Strategies For Process Discovery Using Synthesis Rules (2023)",Synthesis Rule Ordering,NO,,low,"Comparison of ordering strategies in synthesis-based discovery"
"Recursion Aware Modeling and Discovery For Hierarchical Software Event Log Analysis (2017)",Recursive Process Discovery,NO,,medium,"Process discovery for hierarchical software event logs with recursion"
"Guided Interaction Exploration in Artifact-centric Process Models (2017)",Artifact-Centric Mining,NO,,low,"Process mining for artifact-centric process models"
"Event Abstraction for Process Mining using Supervised Learning Techniques (2016)",ML-based Abstraction,NO,,medium,"Machine learning for event abstraction in process mining"
"Monitoring Constraints in Business Processes Using Object-Centric Constraint Graphs (2022)",Object-Centric Constraints,NO,,medium,"Monitoring business process constraints using object-centric constraint graphs"
"OPerA: Object-Centric Performance Analysis (2022)",Object-Centric Perf Analysis,NO,,medium,"Performance analysis techniques for object-centric process mining"
"Revisiting the Alpha Algorithm To Enable Real-Life Process Discovery Applications (2023)",Alpha Algorithm Extensions,YES,src/rust_implementations/paper_algorithms/algorithms/alpha/mod.rs,high,"Extended alpha algorithm for real-life process discovery"
"ProReco: A Process Discovery Recommender System (2025)",Algorithm Recommendation,YES,src/rust_implementations/paper_algorithms/algorithms/process_recommender/mod.rs,high,"Recommends best process discovery algorithm based on log characteristics"
"Discovering Object-Centric Petri Nets (2020)",OC Petri Net Discovery,NO,,high,"Discovery of Petri nets from object-centric event logs"
"Object-Centric Behavioral Constraints (2017)",Object-Centric Constraints,NO,,medium,"Behavioral constraints for object-centric process mining"
"Analyzing An After-Sales Service Process Using Object-Centric Process Mining: A Case Study (2023)",After-Sales OCEL,NO,,low,"Case study of object-centric mining for after-sales service"
"Extracting Rules from Event Data for Study Planning (2023)",Study Planning Rules,NO,,low,"Rule extraction from event data for study planning"
"Grouping Local Process Models (2023)",LPM Grouping,NO,,medium,"Techniques for grouping local process models"
"Process Modeling and Conformance Checking in Healthcare: A COVID-19 Case Study (2022)",Healthcare Conformance,NO,,low,"Conformance checking in healthcare context"
"Process Modeling With Large Language Models (2023)",LLM Modeling,NO,,medium,"Process modeling using large language models"
"Abstractions, Scenarios, and Prompt Definitions for Process Mining with LLMs (2023)",LLM Prompt Engineering,NO,,low,"Prompt engineering for LLM-based process mining"
"Leveraging Large Language Models for Enhanced Process Model Comprehension (2024)",LLM Enhanced Comprehension,NO,,medium,"LLM-based process model understanding"
"ProMoAI: Process Modeling with Generative AI (2024)",Generative Process Modeling,YES,src/rust_implementations/paper_algorithms/algorithms/generative_ai/mod.rs,medium,"Generative AI for process model creation"
"Evaluating Large Language Models on Business Process Modeling: Framework, Benchmark, and Self-Improvement Analysis (2024)",LLM BPM Benchmark,NO,,low,"Benchmark for LLMs on business process modeling"
"PM-LLM-Benchmark: Evaluating Large Language Models on Process Mining Tasks (2024)",LLM PM Benchmark,NO,,medium,"Benchmark specifically for process mining tasks"
"How to Write Beautiful Process-and-Data-Science Papers? (2022)",Paper Writing Guide,NO,,low,"Guide for writing process and data science papers"
"Process-Aware Analysis of Treatment Paths in Heart Failure Patients: A Case Study (2024)",Cardiology Process Mining,NO,,low,"Healthcare case study for cardiology treatment paths"
"Applying Process Mining on Scientific Workflows: a Case Study on High Performance Computing Data (2023)",HPC Workflow Mining,NO,,low,"Process mining for HPC scientific workflows"
"A Python Tool for Object-Centric Process Mining Comparison (2022)",OCEL Comparison Tool,NO,,low,"Python tool for comparing OCEL miners"
"Developing a High-Performance Process Mining Library with Java and Python Bindings in Rust (2024)",Rust PM Library,NO,,high,"High-performance process mining library with Rust backend"
